household_size,year,lowest_quintile,second_quintile,middle_quintile,fourth_quintile,highest_quintile,percentiles_81_90,percentiles_91_95,percentiles_96_99,top_1_percent
1,1979,0,17300,28400,39300,54800,54800,70100,88500,169900
1,1980,0,16600,27500,38200,53700,53700,69200,86700,167000
1,1981,0,16500,27600,38700,54300,54300,69600,87800,165600
1,1982,0,16100,27100,38400,54500,54500,70100,87500,166100
1,1983,0,15600,26900,38500,55100,55100,71300,90100,173600
1,1984,0,16800,28400,40600,58300,58300,76200,96300,188900
1,1985,0,16700,28500,40800,58500,58500,76500,97500,194400
1,1986,0,16700,29200,41900,60800,60800,79500,103100,224800
1,1987,0,16400,29100,42500,61600,61600,80700,103200,211500
1,1988,0,16700,29700,43100,62800,62800,82500,106000,225600
1,1989,0,17000,30100,43600,63600,63600,83600,108000,227400
1,1990,0,17600,30400,43600,63100,63100,82700,107000,220200
1,1991,0,17500,29900,43400,62200,62200,82000,105900,216800
1,1992,0,17100,30000,43800,62900,62900,83100,108300,226900
1,1993,0,17200,30000,43800,63500,63500,84000,109200,222800
1,1994,0,17500,30200,44500,64500,64500,85200,111100,230000
1,1995,0,18500,31400,45600,66200,66200,88000,116000,246300
1,1996,0,18300,31900,46500,67900,67900,91100,119700,261100
1,1997,0,19000,32600,47700,69800,69800,94500,125800,279700
1,1998,0,20000,34000,49500,72800,72800,98500,132500,301000
1,1999,0,20600,34900,50800,75100,75100,102300,137100,322900
1,2000,0,20700,35300,51600,76600,76600,105000,141800,335200
1,2001,0,20500,35100,51400,76300,76300,103000,137100,304300
1,2002,0,20200,34300,50400,74700,74700,100800,134300,289400
1,2003,0,20100,34100,50700,75800,75800,102400,136400,295800
1,2004,0,20600,35200,52000,78000,78000,105800,141400,322100
1,2005,0,20900,35700,53100,79600,79600,109200,149400,361400
1,2006,0,21500,36500,54300,81900,81900,112900,154900,381400
1,2007,0,22700,38000,55800,83700,83700,115500,158500,392900
1,2008,0,22100,36700,54400,81400,81400,111500,151400,348400
1,2009,0,21000,35800,53200,79900,79900,108900,145400,307000
1,2010,0,21300,36100,53600,80400,80400,110100,148300,326900
1,2011,0,21100,35300,52900,80400,80400,111100,149400,332300
1,2012,0,20700,35100,53200,81200,81200,112600,153900,363200
1,2013,0,21100,35900,54500,83000,83000,115000,157100,357100
1,2014,0,21100,36300,55000,84700,84700,117600,162000,374400
2,1979,0,24500,40200,55600,77500,77500,99100,125100,240300
2,1980,0,23500,38900,54100,76000,76000,97900,122500,236200
2,1981,0,23300,39000,54700,76800,76800,98400,124100,234200
2,1982,0,22700,38300,54300,77100,77100,99200,123700,234900
2,1983,0,22000,38000,54400,77900,77900,100800,127400,245400
2,1984,0,23700,40200,57400,82500,82500,107700,136200,267200
2,1985,0,23600,40400,57800,82700,82700,108100,137900,274900
