household_type,income_group,year,market_income,social_insurance_benefits,inc_before_transfers_taxes,means_tested_transfers,federal_taxes,inc_after_transfers_taxes
all_households,all_quintiles,1979,60300.0,4500.0,64800.0,1400.0,14500.0,51600.0
all_households,all_quintiles,1980,58100.0,4900.0,62900.0,1400.0,14100.0,50300.0
all_households,all_quintiles,1981,58100.0,5100.0,63200.0,1400.0,14300.0,50300.0
all_households,all_quintiles,1982,57700.0,5600.0,63300.0,1400.0,13200.0,51500.0
all_households,all_quintiles,1983,58300.0,5700.0,63900.0,1400.0,13100.0,52200.0
all_households,all_quintiles,1984,62000.0,5500.0,67500.0,1400.0,14100.0,54900.0
all_households,all_quintiles,1985,63000.0,5600.0,68600.0,1400.0,14400.0,55600.0
all_households,all_quintiles,1986,67400.0,5800.0,73200.0,1500.0,15400.0,59300.0
all_households,all_quintiles,1987,65200.0,5700.0,70900.0,1500.0,15400.0,56900.0
all_households,all_quintiles,1988,68200.0,5700.0,73900.0,1500.0,16200.0,59200.0
all_households,all_quintiles,1989,68600.0,5800.0,74400.0,1600.0,16100.0,59900.0
all_households,all_quintiles,1990,68100.0,6000.0,74100.0,1800.0,16000.0,59800.0
all_households,all_quintiles,1991,66000.0,6400.0,72400.0,2000.0,15600.0,58700.0
all_households,all_quintiles,1992,67600.0,6700.0,74300.0,2200.0,16100.0,60400.0
all_households,all_quintiles,1993,67700.0,6900.0,74600.0,2300.0,16500.0,60400.0
all_households,all_quintiles,1994,68600.0,6800.0,75400.0,2300.0,16900.0,60800.0
all_households,all_quintiles,1995,71700.0,7000.0,78700.0,2400.0,17800.0,63200.0
all_households,all_quintiles,1996,74600.0,7100.0,81700.0,2300.0,18700.0,65300.0
all_households,all_quintiles,1997,78300.0,7200.0,85500.0,2200.0,19700.0,68000.0
all_households,all_quintiles,1998,83000.0,7200.0,90100.0,2300.0,20400.0,72000.0
all_households,all_quintiles,1999,87500.0,7000.0,94500.0,2400.0,21800.0,75100.0
all_households,all_quintiles,2000,90000.0,7100.0,97100.0,2400.0,22400.0,77200.0
