household_type,income_group,year,federal_taxes,individual_income_tax,payroll_taxes,corporate_income_tax,excise_taxes
all_households,all_quintiles,1979,14500.0,7200.0,4500.0,2200.0,600.0
all_households,all_quintiles,1980,14100.0,7400.0,4400.0,1800.0,500.0
all_households,all_quintiles,1981,14300.0,7600.0,4800.0,1400.0,500.0
all_households,all_quintiles,1982,13200.0,7000.0,4800.0,900.0,500.0
all_households,all_quintiles,1983,13100.0,6600.0,4800.0,1100.0,600.0
all_households,all_quintiles,1984,14100.0,6800.0,5200.0,1400.0,700.0
all_households,all_quintiles,1985,14400.0,7000.0,5400.0,1300.0,600.0
all_households,all_quintiles,1986,15400.0,7600.0,5700.0,1400.0,700.0
all_households,all_quintiles,1987,15400.0,7300.0,5700.0,1700.0,700.0
all_households,all_quintiles,1988,16200.0,7700.0,6000.0,1800.0,700.0
all_households,all_quintiles,1989,16100.0,7700.0,6100.0,1700.0,600.0
all_households,all_quintiles,1990,16000.0,7500.0,6200.0,1600.0,600.0
all_households,all_quintiles,1991,15600.0,7200.0,6300.0,1500.0,700.0
all_households,all_quintiles,1992,16100.0,7400.0,6300.0,1600.0,700.0
all_households,all_quintiles,1993,16500.0,7500.0,6400.0,1900.0,800.0
all_households,all_quintiles,1994,16900.0,7600.0,6500.0,2000.0,800.0
all_households,all_quintiles,1995,17800.0,8100.0,6700.0,2200.0,800.0
all_households,all_quintiles,1996,18700.0,8700.0,6800.0,2400.0,800.0
all_households,all_quintiles,1997,19700.0,9500.0,7000.0,2400.0,800.0
all_households,all_quintiles,1998,20400.0,9900.0,7400.0,2300.0,800.0
all_households,all_quintiles,1999,21800.0,10900.0,7600.0,2400.0,900.0
all_households,all_quintiles,2000,22400.0,11500.0,7700.0,2400.0,800.0
all_households,all_quintiles,2001,19800.0,9600.0,7800.0,1600.0,800.0
all_households,all_quintiles,2002,18300.0,8600.0,7500.0,1400.0,800.0
all_households,all_quintiles,2003,17900.0,7600.0,7500.0,2000.0,800.0
all_households,all_quintiles,2004,19200.0,8300.0,7600.0,2500.0,800.0
all_households,all_quintiles,2005,20800.0,9000.0,7700.0,3300.0,800.0
all_households,all_quintiles,2006,21700.0,9500.0,7800.0,3600.0,700.0
all_households,all_quintiles,2007,21900.0,10100.0,8000.0,3200.0,600.0
all_households,all_quintiles,2008,18400.0,8000.0,7900.0,1900.0,600.0
all_households,all_quintiles,2009,16700.0,7000.0,7700.0,1400.0,600.0
all_households,all_quintiles,2010,17800.0,7600.0,7600.0,2000.0,600.0
all_households,all_quintiles,2011,17400.0,8200.0,6600.0,1900.0,600.0
all_households,all_quintiles,2012,18800.0,9200.0,6600.0,2300.0,700.0
all_households,all_quintiles,2013,20300.0,9400.0,7800.0,2500.0,700.0
all_households,all_quintiles,2014,21500.0,10200.0,7900.0,2700.0,800.0
all_households,lowest_quintile,1979,1400.0,,900.0,200.0,300.0
all_households,lowest_quintile,1980,1300.0,,900.0,200.0,200.0
all_households,lowest_quintile,1981,1400.0,100.0,1000.0,100.0,200.0
all_households,lowest_quintile,1982,1400.0,100.0,1000.0,100.0,200.0
all_households,lowest_quintile,1983,1500.0,100.0,1000.0,100.0,300.0
all_households,lowest_quintile,1984,1700.0,100.0,1100.0,100.0,400.0
all_households,lowest_quintile,1985,1700.0,100.0,1100.0,100.0,400.0
all_households,lowest_quintile,1986,1600.0,100.0,1100.0,100.0,300.0
all_households,lowest_quintile,1987,1500.0,-100.0,1100.0,200.0,300.0
all_households,lowest_quintile,1988,1400.0,-200.0,1100.0,100.0,300.0
all_households,lowest_quintile,1989,1400.0,-300.0,1200.0,200.0,300.0
all_households,lowest_quintile,1990,1600.0,-200.0,1300.0,100.0,300.0
all_households,lowest_quintile,1991,1600.0,-300.0,1300.0,100.0,400.0
all_households,lowest_quintile,1992,1500.0,-400.0,1400.0,200.0,400.0
all_households,lowest_quintile,1993,1500.0,-500.0,1400.0,200.0,500.0
all_households,lowest_quintile,1994,1200.0,-800.0,1400.0,200.0,500.0
all_households,lowest_quintile,1995,1200.0,-900.0,1500.0,200.0,500.0
all_households,lowest_quintile,1996,1100.0,-1100.0,1500.0,200.0,400.0
all_households,lowest_quintile,1997,1200.0,-1100.0,1600.0,200.0,500.0
all_households,lowest_quintile,1998,1300.0,-1100.0,1800.0,200.0,500.0
all_households,lowest_quintile,1999,1400.0,-1100.0,1800.0,200.0,500.0
all_households,lowest_quintile,2000,1300.0,-1200.0,1800.0,200.0,500.0
all_households,lowest_quintile,2001,1100.0,-1200.0,1700.0,100.0,500.0
all_households,lowest_quintile,2002,1000.0,-1300.0,1700.0,100.0,500.0
all_households,lowest_quintile,2003,1000.0,-1300.0,1700.0,100.0,500.0
all_households,lowest_quintile,2004,1000.0,-1300.0,1700.0,200.0,400.0
all_households,lowest_quintile,2005,1000.0,-1400.0,1800.0,200.0,500.0
all_households,lowest_quintile,2006,1200.0,-1500.0,1900.0,300.0,500.0
all_households,lowest_quintile,2007,1100.0,-1600.0,2100.0,200.0,400.0
all_households,lowest_quintile,2008,200.0,-2400.0,2100.0,200.0,400.0
all_households,lowest_quintile,2009,-100.0,-2600.0,2000.0,100.0,400.0
all_households,lowest_quintile,2010,,-2600.0,2000.0,200.0,500.0
all_households,lowest_quintile,2011,100.0,-2200.0,1700.0,100.0,500.0
all_households,lowest_quintile,2012,200.0,-2100.0,1600.0,200.0,500.0
all_households,lowest_quintile,2013,500.0,-2200.0,1900.0,200.0,500.0
all_households,lowest_quintile,2014,400.0,-2200.0,1900.0,200.0,500.0
all_households,second_quintile,1979,5500.0,1500.0,2800.0,700.0,500.0
all_households,second_quintile,1980,5100.0,1600.0,2700.0,500.0,400.0
all_households,second_quintile,1981,5300.0,1700.0,2800.0,400.0,400.0
all_households,second_quintile,1982,4800.0,1400.0,2700.0,200.0,400.0
all_households,second_quintile,1983,4600.0,1300.0,2600.0,300.0,400.0
all_households,second_quintile,1984,5200.0,1400.0,2900.0,400.0,500.0
all_households,second_quintile,1985,5300.0,1400.0,3100.0,300.0,500.0
all_households,second_quintile,1986,5300.0,1400.0,3100.0,300.0,500.0
all_households,second_quintile,1987,5000.0,1100.0,3000.0,400.0,500.0
all_households,second_quintile,1988,5200.0,1100.0,3100.0,400.0,500.0
all_households,second_quintile,1989,5100.0,1100.0,3200.0,400.0,400.0
all_households,second_quintile,1990,5500.0,1300.0,3400.0,400.0,500.0
all_households,second_quintile,1991,5200.0,1100.0,3300.0,400.0,500.0
all_households,second_quintile,1992,5000.0,900.0,3100.0,400.0,500.0
all_households,second_quintile,1993,5000.0,900.0,3100.0,400.0,600.0
all_households,second_quintile,1994,4900.0,700.0,3100.0,400.0,600.0
all_households,second_quintile,1995,5200.0,800.0,3400.0,500.0,600.0
all_households,second_quintile,1996,5200.0,800.0,3400.0,500.0,600.0
all_households,second_quintile,1997,5500.0,900.0,3600.0,500.0,600.0
all_households,second_quintile,1998,5500.0,700.0,3800.0,500.0,600.0
all_households,second_quintile,1999,5800.0,700.0,4000.0,500.0,700.0
all_households,second_quintile,2000,5800.0,800.0,4000.0,500.0,600.0
all_households,second_quintile,2001,5000.0,200.0,3900.0,300.0,600.0
all_households,second_quintile,2002,4500.0,,3700.0,300.0,600.0
all_households,second_quintile,2003,4100.0,-400.0,3600.0,400.0,600.0
all_households,second_quintile,2004,4300.0,-300.0,3600.0,400.0,500.0
all_households,second_quintile,2005,4400.0,-300.0,3700.0,500.0,500.0
all_households,second_quintile,2006,4600.0,-300.0,3800.0,600.0,500.0
all_households,second_quintile,2007,5000.0,-100.0,4100.0,500.0,400.0
all_households,second_quintile,2008,3400.0,-1200.0,3800.0,300.0,400.0
all_households,second_quintile,2009,3100.0,-1200.0,3600.0,200.0,400.0
all_households,second_quintile,2010,3300.0,-1000.0,3600.0,300.0,500.0
all_households,second_quintile,2011,3200.0,-600.0,3000.0,300.0,500.0
all_households,second_quintile,2012,3200.0,-600.0,3000.0,300.0,500.0
all_households,second_quintile,2013,3800.0,-600.0,3500.0,400.0,500.0
all_households,second_quintile,2014,3800.0,-700.0,3600.0,400.0,500.0
all_households,middle_quintile,1979,10700.0,4200.0,4800.0,1100.0,600.0
all_households,middle_quintile,1980,10300.0,4300.0,4600.0,900.0,500.0
all_households,middle_quintile,1981,10400.0,4400.0,4800.0,700.0,500.0
all_households,middle_quintile,1982,9600.0,3900.0,4700.0,500.0,500.0
all_households,middle_quintile,1983,9200.0,3500.0,4600.0,600.0,500.0
all_households,middle_quintile,1984,10000.0,3600.0,5000.0,700.0,600.0
all_households,middle_quintile,1985,10100.0,3600.0,5200.0,600.0,600.0
all_households,middle_quintile,1986,10300.0,3700.0,5300.0,700.0,600.0
all_households,middle_quintile,1987,10000.0,3300.0,5200.0,900.0,600.0
all_households,middle_quintile,1988,10400.0,3400.0,5600.0,900.0,600.0
all_households,middle_quintile,1989,10400.0,3400.0,5600.0,800.0,600.0
all_households,middle_quintile,1990,10600.0,3500.0,5700.0,800.0,600.0
all_households,middle_quintile,1991,10200.0,3300.0,5500.0,700.0,700.0
all_households,middle_quintile,1992,10100.0,3200.0,5500.0,700.0,700.0
all_households,middle_quintile,1993,10100.0,3100.0,5500.0,800.0,700.0
all_households,middle_quintile,1994,10300.0,3100.0,5500.0,900.0,800.0
all_households,middle_quintile,1995,10700.0,3200.0,5700.0,1000.0,800.0
all_households,middle_quintile,1996,10800.0,3300.0,5800.0,1000.0,700.0
all_households,middle_quintile,1997,11200.0,3500.0,6100.0,1000.0,700.0
all_households,middle_quintile,1998,11200.0,3300.0,6300.0,900.0,700.0
all_households,middle_quintile,1999,11600.0,3400.0,6500.0,900.0,800.0
all_households,middle_quintile,2000,11500.0,3400.0,6400.0,900.0,800.0
all_households,middle_quintile,2001,10400.0,2600.0,6400.0,600.0,700.0
all_households,middle_quintile,2002,9800.0,2400.0,6100.0,600.0,700.0
all_households,middle_quintile,2003,9300.0,1800.0,6000.0,700.0,700.0
all_households,middle_quintile,2004,9700.0,2000.0,6200.0,800.0,700.0
all_households,middle_quintile,2005,10100.0,2000.0,6300.0,1100.0,700.0
all_households,middle_quintile,2006,10200.0,2100.0,6300.0,1100.0,600.0
all_households,middle_quintile,2007,10600.0,2400.0,6600.0,1000.0,600.0
all_households,middle_quintile,2008,8400.0,900.0,6400.0,600.0,600.0
all_households,middle_quintile,2009,8000.0,1000.0,6000.0,500.0,500.0
all_households,middle_quintile,2010,8200.0,1200.0,5900.0,600.0,600.0
all_households,middle_quintile,2011,7900.0,1800.0,5000.0,600.0,600.0
all_households,middle_quintile,2012,8100.0,1800.0,5000.0,600.0,600.0
all_households,middle_quintile,2013,9300.0,2000.0,6000.0,700.0,600.0
all_households,middle_quintile,2014,9600.0,2000.0,6200.0,800.0,700.0
all_households,fourth_quintile,1979,16500.0,7600.0,6400.0,1700.0,700.0
all_households,fourth_quintile,1980,16100.0,7900.0,6200.0,1400.0,600.0
all_households,fourth_quintile,1981,16700.0,8200.0,6800.0,1100.0,500.0
all_households,fourth_quintile,1982,15300.0,7400.0,6600.0,700.0,600.0
all_households,fourth_quintile,1983,14800.0,6600.0,6600.0,900.0,700.0
all_households,fourth_quintile,1984,15800.0,6800.0,7100.0,1100.0,700.0
all_households,fourth_quintile,1985,15900.0,6800.0,7400.0,1000.0,700.0
all_households,fourth_quintile,1986,16600.0,7100.0,7800.0,1100.0,700.0
