household_type,income_group,year,means_tested_transfers,medicaid,snap,ssi,other_transfers
all_households,all_quintiles,1979,2.1,0.6,0.3,0.3,0.8
all_households,all_quintiles,1980,2.2,0.7,0.4,0.4,0.8
all_households,all_quintiles,1981,2.3,0.7,0.4,0.3,0.8
all_households,all_quintiles,1982,2.2,0.7,0.4,0.3,0.8
all_households,all_quintiles,1983,2.2,0.7,0.4,0.3,0.8
all_households,all_quintiles,1984,2.1,0.7,0.4,0.3,0.7
all_households,all_quintiles,1985,2.1,0.7,0.3,0.3,0.8
all_households,all_quintiles,1986,2.0,0.7,0.3,0.3,0.7
all_households,all_quintiles,1987,2.1,0.8,0.3,0.3,0.7
all_households,all_quintiles,1988,2.0,0.8,0.3,0.3,0.7
all_households,all_quintiles,1989,2.1,0.8,0.3,0.3,0.6
all_households,all_quintiles,1990,2.4,1.0,0.3,0.4,0.7
all_households,all_quintiles,1991,2.7,1.2,0.4,0.4,0.7
all_households,all_quintiles,1992,2.9,1.3,0.5,0.5,0.7
all_households,all_quintiles,1993,3.1,1.4,0.5,0.5,0.8
all_households,all_quintiles,1994,3.1,1.5,0.4,0.5,0.7
all_households,all_quintiles,1995,3.0,1.5,0.4,0.5,0.6
all_households,all_quintiles,1996,2.8,1.4,0.4,0.5,0.6
all_households,all_quintiles,1997,2.6,1.4,0.3,0.4,0.4
all_households,all_quintiles,1998,2.6,1.5,0.2,0.4,0.4
all_households,all_quintiles,1999,2.5,1.5,0.2,0.4,0.3
all_households,all_quintiles,2000,2.5,1.6,0.2,0.4,0.3
all_households,all_quintiles,2001,2.9,1.9,0.2,0.4,0.3
all_households,all_quintiles,2002,3.3,2.2,0.2,0.4,0.3
all_households,all_quintiles,2003,3.5,2.4,0.3,0.4,0.3
all_households,all_quintiles,2004,3.4,2.4,0.3,0.4,0.3
all_households,all_quintiles,2005,3.3,2.3,0.3,0.4,0.3
all_households,all_quintiles,2006,3.1,2.1,0.3,0.4,0.4
all_households,all_quintiles,2007,3.1,2.1,0.3,0.4,0.4
all_households,all_quintiles,2008,3.5,2.4,0.3,0.4,0.4
all_households,all_quintiles,2009,4.2,2.8,0.5,0.5,0.5
all_households,all_quintiles,2010,4.3,2.7,0.6,0.4,0.5
all_households,all_quintiles,2011,4.3,2.7,0.7,0.5,0.5
all_households,all_quintiles,2012,4.1,2.6,0.6,0.4,0.4
all_households,all_quintiles,2013,4.3,2.7,0.6,0.5,0.4
all_households,all_quintiles,2014,4.8,3.3,0.5,0.4,0.5
all_households,lowest_quintile,1979,30.6,8.9,5.3,4.8,11.6
all_households,lowest_quintile,1980,33.6,9.8,6.2,5.3,12.3
all_households,lowest_quintile,1981,34.7,10.1,6.9,5.2,12.4
